Variant number: 36,  Outcomes: White win: 32%,  Draw: 47%,  Black win: 21%,  Move 5 Entropy: 10.0,  Move 10 Entropy: 13.8,  Move 20 Entropy: 24.8
Variant number: 37,  Outcomes: White win: 29%,  Draw: 49%,  Black win: 22%,  Move 5 Entropy: 10.6,  Move 10 Entropy: 14.7,  Move 20 Entropy: 28.2
Variant number: 38,  Outcomes: White win: 24%,  Draw: 54%,  Black win: 22%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 15.8,  Move 20 Entropy: 24.5
Variant number: 39,  Outcomes: White win: 22%,  Draw: 57%,  Black win: 21%,  Move 5 Entropy: 10.9,  Move 10 Entropy: 17.1,  Move 20 Entropy: 27.0
Variant number: 40,  Outcomes: White win: 33%,  Draw: 48%,  Black win: 19%,  Move 5 Entropy: 9.9,  Move 10 Entropy: 10.6,  Move 20 Entropy: 24.5
Variant number: 41,  Outcomes: White win: 24%,  Draw: 52%,  Black win: 24%,  Move 5 Entropy: 10.7,  Move 10 Entropy: 16.8,  Move 20 Entropy: 25.4
Variant number: 42,  Outcomes: White win: 27%,  Draw: 53%,  Black win: 20%,  Move 5 Entropy: 9.9,  Move 10 Entropy: 14.8,  Move 20 Entropy: 22.5
Variant number: 43,  Outcomes: White win: 25%,  Draw: 55%,  Black win: 21%,  Move 5 Entropy: 9.2,  Move 10 Entropy: 12.5,  Move 20 Entropy: 25.6
Variant number: 44,  Outcomes: White win: 31%,  Draw: 43%,  Black win: 26%,  Move 5 Entropy: 10.2,  Move 10 Entropy: 14.9,  Move 20 Entropy: 28.2
Variant number: 45,  Outcomes: White win: 30%,  Draw: 47%,  Black win: 23%,  Move 5 Entropy: 8.7,  Move 10 Entropy: 12.0,  Move 20 Entropy: 27.3
Variant number: 46,  Outcomes: White win: 31%,  Draw: 48%,  Black win: 21%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 10.4,  Move 20 Entropy: 19.1
Variant number: 47,  Outcomes: White win: 29%,  Draw: 48%,  Black win: 23%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 13.3,  Move 20 Entropy: 24.8
Variant number: 48,  Outcomes: White win: 31%,  Draw: 40%,  Black win: 29%,  Move 5 Entropy: 5.9,  Move 10 Entropy: 7.7,  Move 20 Entropy: 21.1
